Hp[ft]	ACMass[kg]	CAS[kt]	TAS[kt]	M[-]	ROCD[ft/min]	Grad[deg]	FuelFlow[kg/s]	Fuel[kg]	Time[s]	Distance[NM]	Thr[N]	D[N]	fM[-]
10000	65300	250	288.7023134	0.452275114	-1532.218816	-3	0.09260353994	0.09260353994	0	0	6243.421317	43463.68775	0.9016752257
9974.46302	65299.9074	250	288.5934003	0.4520618779	-1531.640786	-3	0.09265855801	0.185262098	1	0.08019508706	6247.632198	43464.60108	0.8
9948.935673	65299.81474	249.78049	288.2349096	0.4514577926	-1529.738182	-3	0.09227589122	0.2775379892	2	0.1603599205	6223.474839	43431.20499	0.8
9923.440037	65299.72246	249.5609149	287.8766922	0.4508543059	-1527.837028	-3	0.0918942973	0.3694322865	3	0.2404251732	6199.375836	43397.88596	0.8
9897.976086	65299.63057	249.3412745	287.5187474	0.4502514163	-1525.937321	-3	0.09151378123	0.4609460677	4	0.320390921	6175.335587	43364.64435	0.8
9872.543798	65299.53905	249.1215689	287.1610749	0.4496491227	-1524.039059	-3	0.09113434797	0.5520804157	5	0.4002572397	6151.354491	43331.4805	0.8
9847.143147	65299.44792	248.9017982	286.8036739	0.4490474236	-1522.142239	-3	0.09075600248	0.6428364182	6	0.480024205	6127.432948	43298.39479	0.8
9821.774109	65299.35716	248.6819624	286.4465441	0.4484463179	-1520.246857	-3	0.09037874976	0.7332151679	7	0.5596918922	6103.571357	43265.38758	0.8
9796.436662	65299.26678	248.4620614	286.0896848	0.4478458041	-1518.352911	-3	0.09000259479	0.8232177627	8	0.6392603766	6079.77012	43232.45923	0.8
9771.13078	65299.17678	248.2420954	285.7330955	0.4472458811	-1516.460398	-3	0.08962754257	0.9128453053	9	0.7187297335	6056.029639	43199.61011	0.8
9745.85644	65299.08715	248.0220643	285.3767756	0.4466465475	-1514.569316	-3	0.0892535981	1.002098903	10	0.7981000378	6032.350317	43166.84057	0.8
9720.613618	65298.9979	247.8019681	285.0207246	0.446047802	-1512.67966	-3	0.08888076639	1.09097967	11	0.8773713644	6008.732558	43134.15099	0.8
9695.40229	65298.90902	247.581807	284.664942	0.4454496433	-1510.791428	-3	0.08850905247	1.179488722	12	0.9565437879	5985.176766	43101.54174	0.8
9670.222433	65298.82051	247.3615808	284.3094273	0.4448520702	-1508.904618	-3	0.08813846137	1.267627184	13	1.035617383	5961.683347	43069.01317	0.8
9645.074023	65298.73237	247.1412898	283.9541798	0.4442550813	-1507.019227	-3	0.08776899813	1.355396182	14	1.114592224	5938.252707	43036.56567	0.8
9619.957036	65298.6446	246.9209337	283.5991991	0.4436586754	-1505.135251	-3	0.08740066778	1.44279685	15	1.193468385	5914.885254	43004.1996	0.8
9594.871448	65298.5572	246.7005128	283.2444846	0.4430628512	-1503.252688	-3	0.0870334754	1.529830325	16	1.27224594	5891.581396	42971.91532	0.8
9569.817237	65298.47017	246.4800269	282.8900357	0.4424676075	-1501.371536	-3	0.08666742604	1.616497751	17	1.350924964	5868.341542	42939.71322	0.8
9544.794378	65298.3835	246.2594762	282.5358521	0.4418729429	-1499.49179	-3	0.08630252477	1.702800276	18	1.429505529	5845.166102	42907.59367	0.8
9519.802848	65298.2972	246.0388607	282.181933	0.4412788562	-1497.613449	-3	0.08593877669	1.788739052	19	1.50798771	5822.055487	42875.55704	0.8
9494.842624	65298.21126	245.8181803	281.8282781	0.4406853462	-1495.736509	-3	0.08557618689	1.874315239	20	1.586371581	5799.010109	42843.6037	0.8
9469.913682	65298.12568	245.5974351	281.4748866	0.4400924115	-1493.860969	-3	0.08521476046	1.95953	21	1.664657213	5776.030381	42811.73404	0.8
9445.015999	65298.04047	245.3766252	281.1217583	0.4395000509	-1491.986824	-3	0.08485450251	2.044384502	22	1.742844682	5753.116717	42779.94842	0.8
9420.149552	65297.95562	245.1557506	280.7688924	0.4389082632	-1490.114072	-3	0.08449541818	2.12887992	23	1.820934059	5730.269532	42748.24723	0.8
9395.314318	65297.87112	244.9348112	280.4162884	0.4383170471	-1488.242711	-3	0.08413751258	2.213017433	24	1.898925418	5707.489241	42716.63085	0.8
9370.510273	65297.78698	244.7138071	280.063946	0.4377264014	-1486.372737	-3	0.08378079086	2.296798224	25	1.976818832	5684.776261	42685.09966	0.8
9345.737394	65297.7032	244.4927384	279.7118644	0.4371363247	-1484.504148	-3	0.08342525818	2.380223482	26	2.054614372	5662.13101	42653.65403	0.8
9320.995658	65297.61978	244.2716051	279.3600432	0.436546816	-1482.636941	-3	0.08307091968	2.463294402	27	2.132312112	5639.553908	42622.29435	0.8
9296.285042	65297.53671	244.0504071	279.008482	0.4359578738	-1480.771113	-3	0.08271778054	2.546012182	28	2.209912124	5617.045372	42591.021	0.8
9271.605524	65297.45399	243.8291446	278.65718	0.4353694971	-1478.906661	-3	0.08236584595	2.628378028	29	2.28741448	5594.605825	42559.83438	0.8
9246.957079	65297.37162	243.6078175	278.3061369	0.4347816845	-1477.043584	-3	0.08201512108	2.710393149	30	2.364819253	5572.235689	42528.73486	0.8
9222.339686	65297.28961	243.3864258	277.9553521	0.4341944348	-1475.181877	-3	0.08166561116	2.79205876	31	2.442126513	5549.935385	42497.72283	0.8
9197.753322	65297.20794	243.1649697	277.6048251	0.4336077469	-1473.321538	-3	0.08131732138	2.873376082	32	2.519336333	5527.705338	42466.79868	0.8
9173.197963	65297.12662	242.9434491	277.2545553	0.4330216193	-1471.462565	-3	0.08097025697	2.954346339	33	2.596448784	5505.545973	42435.96279	0.8
9148.673587	65297.04565	242.721864	276.9045423	0.4324360511	-1469.604954	-3	0.08062442316	3.034970762	34	2.673463938	5483.457717	42405.21557	0.8
9124.180171	65296.96503	242.5002145	276.5547856	0.4318510408	-1467.748703	-3	0.08027982521	3.115250587	35	2.750381867	5461.440995	42374.5574	0.8
9099.717692	65296.88475	242.2785006	276.2052846	0.4312665874	-1465.89381	-3	0.07993646836	3.195187056	36	2.827202641	5439.496236	42343.98867	0.8
9075.286129	65296.80481	242.0567223	275.8560387	0.4306826896	-1464.040271	-3	0.07959435788	3.274781413	37	2.903926331	5417.623871	42313.50977	0.8
9050.885458	65296.72522	241.8348797	275.5070476	0.4300993461	-1462.188083	-3	0.07925349905	3.354034912	38	2.980553008	5395.824327	42283.12111	0.8
9026.515656	65296.64597	241.6129728	275.1583107	0.4295165558	-1460.337245	-3	0.07891389717	3.43294881	39	3.057082744	5374.098039	42252.82308	0.8
9002.176702	65296.56705	241.3910016	274.8098274	0.4289343175	-1458.487753	-3	0.07857555753	3.511524367	40	3.133515608	5352.445437	42222.61607	0.8
8977.868573	65296.48848	241.1689662	274.4615973	0.4283526299	-1456.639605	-3	0.07823848545	3.589762853	41	3.209851671	5330.866956	42192.50048	0.8
8953.591246	65296.41024	240.9468665	274.1136199	0.4277714919	-1454.792797	-3	0.07790268626	3.667665539	42	3.286091004	5309.36303	42162.47672	0.8
8929.344699	65296.33233	240.7247026	273.7658946	0.4271909023	-1452.947328	-3	0.07756816528	3.745233704	43	3.362233676	5287.934096	42132.54518	0.8
8905.128911	65296.25477	240.5024745	273.418421	0.4266108598	-1451.103195	-3	0.07723492787	3.822468632	44	3.438279758	5266.580591	42102.70627	0.8
8880.943857	65296.17753	240.2801823	273.0711985	0.4260313633	-1449.260394	-3	0.0769029794	3.899371611	45	3.514229319	5245.302953	42072.96039	0.8
8856.789518	65296.10063	240.0578259	272.7242266	0.4254524116	-1447.418923	-3	0.07657232523	3.975943937	46	3.59008243	5224.101622	42043.30795	0.8
8832.665869	65296.02406	239.8354055	272.3775049	0.4248740035	-1445.57878	-3	0.07624297075	4.052186907	47	3.665839159	5202.977037	42013.74935	0.8
8808.572889	65295.94781	239.612921	272.0310328	0.4242961378	-1443.739962	-3	0.07591492137	4.128101829	48	3.741499577	5181.929642	41984.28499	0.8
8784.510556	65295.8719	239.3903724	271.6848098	0.4237188133	-1441.902466	-3	0.07558818249	4.203690011	49	3.817063753	5160.959879	41954.91529	0.8
8760.478849	65295.79631	239.1677599	271.3388354	0.4231420289	-1440.066289	-3	0.07526275954	4.278952771	50	3.892531756	5140.068193	41925.64066	0.8
8736.477744	65295.72105	238.9450834	270.9931092	0.4225657833	-1438.231429	-3	0.07493865796	4.353891429	51	3.967903655	5119.255029	41896.46151	0.8
8712.50722	65295.64611	238.7223429	270.6476306	0.4219900755	-1436.397884	-3	0.0746158832	4.428507312	52	4.043179518	5098.520834	41867.37825	0.8
8688.567255	65295.57149	238.4995385	270.3023991	0.4214149042	-1434.56565	-3	0.07429444072	4.502801753	53	4.118359416	5077.866055	41838.39129	0.8
8664.657828	65295.4972	238.2766702	269.9574142	0.4208402683	-1432.734725	-3	0.07397433599	4.576776089	54	4.193443415	5057.291143	41809.50105	0.8
8640.778916	65295.42322	238.0537381	269.6126755	0.4202661665	-1430.905106	-3	0.07365557452	4.650431663	55	4.268431586	5036.796548	41780.70795	0.8
8616.930497	65295.34957	237.8307421	269.2681825	0.4196925978	-1429.076791	-3	0.07333816181	4.723769825	56	4.343323996	5016.382721	41752.0124	0.8
