Hp[ft]	CAS_min[kt]	CAS_max[kt]	TAS_min[kt]	TAS_max[kt]	M_min[-]	M_max[-]
38488.6	222.849	257.891	412.191	470.327	0.718643	0.82
38000	222.849	257.891	412.191	470.327	0.718643	0.82
37500	222.849	257.891	412.191	470.327	0.718643	0.82
37000	222.849	257.891	412.191	470.327	0.718643	0.82
36500	222.849	257.891	412.191	470.327	0.718643	0.82
36000	222.849	257.891	412.191	470.327	0.718643	0.82
35500	221.666	260.825	405.926	470.327	0.707719	0.82
35000	220.5	263.859	399.656	470.327	0.696787	0.82
34500	219.375	266.925	393.522	470.327	0.686094	0.82
34000	218.291	270.025	387.521	470.327	0.67563	0.82
33500	217.244	273.157	381.802	470.519	0.665388	0.82
33000	216.236	276.313	376.922	471.592	0.655389	0.82
32500	215.266	279.488	372.158	472.663	0.645639	0.82
32000	214.331	282.682	367.504	473.732	0.636127	0.82
31500	213.431	285.894	362.957	474.798	0.626844	0.82
31000	212.563	289.125	358.511	475.862	0.617781	0.82
30500	211.725	292.375	354.163	476.924	0.60893	0.82
30000	210.917	295.643	349.909	477.983	0.600284	0.82
29500	210.136	298.93	345.746	479.04	0.591834	0.82
29000	209.381	302.235	341.671	480.094	0.583574	0.82
28500	208.65	305.558	337.681	481.147	0.575497	0.82
28000	207.944	308.9	333.772	482.197	0.567597	0.82
27500	207.26	312.26	329.943	483.244	0.559868	0.82
27000	206.598	315.637	326.19	484.29	0.552305	0.82
26500	205.956	319.033	322.51	485.333	0.544901	0.82
26000	205.334	322.446	318.902	486.374	0.537652	0.82
25500	204.73	325.877	315.364	487.412	0.530554	0.82
25000	204.145	329.326	311.892	488.449	0.5236	0.82
24500	203.577	332.792	308.486	489.483	0.516787	0.82
24000	203.025	336.275	305.143	490.515	0.510112	0.82
23500	202.489	339.776	301.862	491.545	0.503568	0.82
23000	201.968	340	298.639	488.231	0.497154	0.812772
22500	201.462	340	295.475	484.65	0.490864	0.805135
22000	200.97	340	292.367	481.1	0.484695	0.797582
21500	200.492	340	289.314	477.578	0.478645	0.790113
21000	200.026	340	286.314	474.087	0.47271	0.782727
20500	199.573	340	283.365	470.624	0.466885	0.775422
20000	199.131	340	280.467	467.191	0.46117	0.768199
19500	198.702	340	277.618	463.787	0.45556	0.761055
19000	198.283	340	274.817	460.412	0.450053	0.753991
18500	197.875	340	272.062	457.065	0.444645	0.747006
18000	197.477	340	269.353	453.747	0.439336	0.740097
17500	197.09	340	266.688	450.458	0.434121	0.733266
17000	196.711	340	264.066	447.196	0.428999	0.726511
16500	196.343	340	261.486	443.963	0.423967	0.71983
16000	195.983	340	258.947	440.757	0.419023	0.713224
15500	195.632	340	256.449	437.58	0.414165	0.706692
15000	195.289	340	253.989	434.429	0.40939	0.700231
14500	194.954	340	251.568	431.306	0.404697	0.693843
14000	194.627	340	249.184	428.21	0.400084	0.687526
13500	194.308	340	246.836	425.141	0.395549	0.681279
13000	193.996	340	244.524	422.099	0.391089	0.675101
12500	193.7	340	242.259	419.084	0.386723	0.668992
12000	193.7	340	240.38	416.094	0.38299	0.662951
11500	193.7	340	238.521	413.131	0.379306	0.656977
11000	193.7	340	236.683	410.194	0.375668	0.651069
10500	193.7	340	234.864	407.283	0.372077	0.645227
10000	193.7	340	233.064	404.397	0.36853	0.639449
9500	193.7	340	231.283	401.537	0.365029	0.633736
9000	193.7	340	229.522	398.702	0.361572	0.628086
8500	193.7	340	227.779	395.892	0.358158	0.622498
8000	193.7	340	226.054	393.107	0.354787	0.616973
7500	193.7	340	224.347	390.346	0.351458	0.611508
7000	193.7	340	222.659	387.61	0.34817	0.606104
6500	193.7	340	220.988	384.898	0.344924	0.60076
6000	193.7	340	219.334	382.21	0.341718	0.595474
5500	193.7	340	217.698	379.546	0.338551	0.590247
5000	193.7	340	216.079	376.905	0.335423	0.585077
4500	193.7	340	214.477	374.288	0.332334	0.579965
4000	193.7	340	212.891	371.695	0.329283	0.574908
3500	193.7	340	211.322	369.124	0.32627	0.569908
3000	193.7	340	209.769	366.576	0.323293	0.564962
2500	193.7	340	208.232	364.051	0.320352	0.56007
2000	193.7	340	206.711	361.548	0.317447	0.555232
1500	193.7	340	205.205	359.067	0.314578	0.550447
1000	193.7	340	203.715	356.609	0.311743	0.545715
500	193.7	340	202.24	354.172	0.308942	0.541034
0	193.7	340	200.78	351.757	0.306175	0.536404
