Hp[ft]	CAS_min[kt]	CAS_max[kt]	TAS_min[kt]	TAS_max[kt]	M_min[-]	M_max[-]
41000	290	243.292	548.468	470.327	0.956236	0.82
40500	290	246.135	543.072	470.327	0.94683	0.82
40000	290	249.01	537.712	470.327	0.937485	0.82
39500	290	251.916	532.388	470.327	0.928202	0.82
39000	290	254.854	527.099	470.327	0.918981	0.82
38500	290	257.824	521.847	470.327	0.909823	0.82
38000	290	260.825	516.63	470.327	0.900728	0.82
37500	290	263.859	511.449	470.327	0.891696	0.82
37000	290	266.925	506.305	470.327	0.882726	0.82
36500	290	270.025	501.197	470.327	0.873821	0.82
36000	290	273.157	496.328	470.519	0.864979	0.82
35500	290	276.313	492.427	471.592	0.856227	0.82
35000	290	279.488	488.56	472.663	0.847578	0.82
34500	290	282.682	484.726	473.732	0.83903	0.82
34000	290	285.894	480.926	474.798	0.830583	0.82
33500	290	289.125	477.159	475.862	0.822235	0.82
33000	290	292.375	473.425	476.924	0.813985	0.82
32500	290	295.643	469.725	477.983	0.805832	0.82
32000	290	298.93	466.057	479.04	0.797776	0.82
31500	290	302.235	462.421	480.094	0.789814	0.82
31000	290	305.558	458.819	481.147	0.781947	0.82
30500	290	308.9	455.248	482.197	0.774172	0.82
30000	290	312.26	451.71	483.244	0.76649	0.82
29500	290	315.637	448.203	484.29	0.758898	0.82
29000	290	319.033	444.728	485.333	0.751396	0.82
28500	290	322.446	441.285	486.374	0.743983	0.82
28000	290	325.877	437.873	487.412	0.736657	0.82
27500	290	329.326	434.492	488.449	0.729418	0.82
27000	290	332.792	431.142	489.483	0.722265	0.82
26500	290	336.275	427.823	490.515	0.715197	0.82
26000	290	339.776	424.534	491.545	0.708212	0.82
25500	250	340	366.287	488.231	0.609768	0.812772
25000	250	340	363.387	484.65	0.603685	0.805135
24500	250	340	360.517	481.1	0.597677	0.797582
24000	250	340	357.676	477.578	0.591744	0.790113
23500	250	340	354.862	474.087	0.585885	0.782727
23000	250	340	352.078	470.624	0.580099	0.775422
22500	250	340	349.321	467.191	0.574385	0.768199
22000	250	340	346.591	463.787	0.568742	0.761055
21500	250	340	343.889	460.412	0.563169	0.753991
21000	250	340	341.215	457.065	0.557665	0.747006
20500	250	340	338.567	453.747	0.552229	0.740097
20000	250	340	335.945	450.458	0.54686	0.733266
19500	250	340	333.35	447.196	0.541558	0.726511
19000	250	340	330.781	443.963	0.53632	0.71983
18500	250	340	328.238	440.757	0.531148	0.713224
18000	250	340	325.721	437.58	0.526039	0.706692
17500	250	340	323.228	434.429	0.520993	0.700231
17000	250	340	320.761	431.306	0.516009	0.693843
16500	250	340	318.318	428.21	0.511086	0.687526
16000	250	340	315.9	425.141	0.506223	0.681279
15500	250	340	313.506	422.099	0.501419	0.675101
15000	250	340	311.137	419.084	0.496674	0.668992
14500	250	340	308.791	416.094	0.491987	0.662951
14000	250	340	306.468	413.131	0.487357	0.656977
13500	250	340	304.168	410.194	0.482783	0.651069
13000	250	340	301.892	407.283	0.478264	0.645227
12500	250	340	299.638	404.397	0.4738	0.639449
12000	250	340	297.407	401.537	0.46939	0.633736
11500	250	340	295.198	398.702	0.465034	0.628086
11000	250	340	293.011	395.892	0.460729	0.622498
10500	250	340	290.846	393.107	0.456477	0.616973
10000	250	340	288.702	390.346	0.452275	0.611508
9500	220	340	252.581	387.61	0.394961	0.606104
9000	220	340	250.705	384.898	0.391308	0.60076
8500	220	340	248.848	382.21	0.387699	0.595474
8000	220	340	247.01	379.546	0.384135	0.590247
7500	220	340	245.19	376.905	0.380614	0.585077
7000	220	340	243.39	374.288	0.377135	0.579965
6500	189.1	340	207.862	371.695	0.321505	0.574908
6000	189.1	340	206.328	369.124	0.318559	0.569908
5500	189.1	340	204.809	366.576	0.315649	0.564962
5000	189.1	340	203.306	364.051	0.312774	0.56007
4500	189.1	340	201.819	361.548	0.309935	0.555232
4000	189.1	340	200.347	359.067	0.30713	0.550447
3500	159.1	340	167.402	356.609	0.256174	0.545715
3000	159.1	340	166.179	354.172	0.253855	0.541034
2500	149.1	340	154.612	351.757	0.235772	0.536404
2000	144.1	340	148.344	349.363	0.225819	0.531825
1500	139.1	340	142.159	346.991	0.216028	0.527295
1000	139.1	340	141.129	344.64	0.214091	0.522815
500	0	340	0	342.31	0	0.518383
0	0	340	0	340	0	0.514
