Hp[ft]	ACMass[kg]	CAS[kt]	TAS[kt]	M[-]	ROCD[ft/min]	Grad[deg]	FuelFlow[kg/s]	Fuel[kg]	Time[s]	Distance[NM]	Thr[N]	D[N]	fM[-]
10000	65300	180	208.6092202	0.3268029194	1107.143786	3	1.042176311	1.042176311	0	0	74672.52417	39145.21272	0.944642045
10018.4524	65298.95782	180	208.6677769	0.3269169231	1107.454562	3	1.042226238	2.084402549	1	0.05794700561	74672.67654	39144.60363	0.9446067227
10036.90997	65297.9156	180	208.7263731	0.3270310121	1107.765548	3	1.042276216	3.126678765	2	0.115910277	74672.83033	39143.99462	0.944571366
10055.37273	65296.87332	180	208.785009	0.3271451865	1108.076743	3	1.042326247	4.169005012	3	0.1738898251	74672.98553	39143.3857	0.9445359746
10073.84068	65295.83099	180	208.8436844	0.3272594464	1108.388149	3	1.042376331	5.211381343	4	0.2318856609	74673.14216	39142.77687	0.9445005487
10092.31381	65294.78862	180	208.9023996	0.3273737918	1108.699766	3	1.042426467	6.25380781	5	0.2898977954	74673.3002	39142.16813	0.944465088
10110.79214	65293.74619	180	208.9611545	0.327488223	1109.011594	3	1.042476655	7.296284464	6	0.3479262398	74673.45967	39141.55948	0.9444295927
10129.27567	65292.70372	180	209.0199491	0.3276027399	1109.323632	3	1.042526896	8.33881136	7	0.4059710049	74673.62057	39140.95091	0.9443940626
10147.7644	65291.66119	180	209.0787836	0.3277173427	1109.635882	3	1.042577189	9.381388549	8	0.4640321019	74673.7829	39140.34243	0.9443584977
10166.25833	65290.61861	180	209.1376579	0.3278320314	1109.948344	3	1.042627536	10.42401609	9	0.5221095418	74673.94665	39139.73404	0.9443228979
10184.75747	65289.57598	180	209.1965721	0.3279468062	1110.261017	3	1.042677935	11.46669402	10	0.5802033356	74674.11184	39139.12574	0.9442872633
10203.26182	65288.53331	180	209.2555262	0.3280616672	1110.573902	3	1.042728386	12.50942241	11	0.6383134945	74674.27846	39138.51753	0.9442515937
10221.77138	65287.49058	180	209.3145204	0.3281766144	1110.886999	3	1.042778891	13.5522013	12	0.6964400296	74674.44652	39137.9094	0.9442158891
10240.28617	65286.4478	180	209.3735545	0.328291648	1111.200309	3	1.042829449	14.59503075	13	0.7545829519	74674.61601	39137.30136	0.9441801495
10258.80617	65285.40497	180	209.4326287	0.328406768	1111.513831	3	1.04288006	15.63791081	14	0.8127422726	74674.78695	39136.69341	0.9441443749
10277.3314	65284.36209	180	209.491743	0.3285219746	1111.827566	3	1.042930724	16.68084153	15	0.8709180028	74674.95932	39136.08556	0.9441085651
10295.86186	65283.31916	180	209.5508975	0.3286372679	1112.141514	3	1.042981441	17.72382297	16	0.9291101536	74675.13315	39135.47779	0.9440727202
10314.39755	65282.27618	180	209.6100921	0.3287526479	1112.455676	3	1.043032211	18.76685518	17	0.9873187363	74675.30841	39134.8701	0.94403684
10332.93848	65281.23314	180	209.669327	0.3288681147	1112.770051	3	1.043083035	19.80993822	18	1.045543762	74675.48513	39134.26251	0.9440009246
10351.48465	65280.19006	180	209.7286021	0.3289836685	1113.084639	3	1.043133911	20.85307213	19	1.103785242	74675.6633	39133.65501	0.9439649739
10370.03606	65279.14693	180	209.7879176	0.3290993094	1113.399442	3	1.043184842	21.89625697	20	1.162043187	74675.84292	39133.0476	0.9439289879
10388.59272	65278.10374	180	209.8472734	0.3292150374	1113.714459	3	1.043235826	22.93949279	21	1.220317608	74676.024	39132.44028	0.9438929665
10407.15462	65277.06051	180	209.9066696	0.3293308526	1114.02969	3	1.043286863	23.98277966	22	1.278608517	74676.20653	39131.83305	0.9438569096
10425.72179	65276.01722	180	209.9661063	0.3294467552	1114.345136	3	1.043337954	25.02611761	23	1.336915926	74676.39052	39131.2259	0.9438208173
10444.2942	65274.97388	180	210.0255835	0.3295627453	1114.660797	3	1.043389099	26.06950671	24	1.395239844	74676.57597	39130.61885	0.9437846894
10462.87188	65273.93049	180	210.0851012	0.3296788229	1114.976673	3	1.043440298	27.11294701	25	1.453580284	74676.76289	39130.01189	0.9437485259
10481.45483	65272.88705	180	210.1446594	0.3297949881	1115.292765	3	1.04349155	28.15643856	26	1.511937256	74676.95127	39129.40502	0.9437123269
10500.04304	65271.84356	180	210.2042583	0.3299112411	1115.609071	3	1.043542857	29.19998142	27	1.570310773	74677.14112	39128.79824	0.9436760921
10518.63653	65270.80002	180	210.2638978	0.3300275819	1115.925594	3	1.043594217	30.24357563	28	1.628700845	74677.33244	39128.19155	0.9436398217
10537.23529	65269.75642	180	210.3235781	0.3301440107	1116.242333	3	1.043645631	31.28722126	29	1.687107483	74677.52523	39127.58495	0.9436035155
10555.83932	65268.71278	180	210.3832991	0.3302605276	1116.559288	3	1.0436971	32.33091836	30	1.745530699	74677.71949	39126.97845	0.9435671734
10574.44865	65267.66908	180	210.4430609	0.3303771325	1116.876459	3	1.043748622	33.37466699	31	1.803970504	74677.91523	39126.37203	0.9435307956
10593.06325	65266.62533	180	210.5028635	0.3304938258	1117.193847	3	1.043800199	34.41846719	32	1.86242691	74678.11245	39125.76571	0.9434943818
10611.68315	65265.58153	180	210.562707	0.3306106074	1117.511453	3	1.04385183	35.46231902	33	1.920899928	74678.31114	39125.15948	0.9434579321
10630.30834	65264.53768	180	210.6225914	0.3307274774	1117.829275	3	1.043903516	36.50622253	34	1.979389569	74678.51132	39124.55334	0.9434214464
10648.93883	65263.49378	180	210.6825168	0.330844436	1118.147315	3	1.043955256	37.55017779	35	2.037895844	74678.71299	39123.94729	0.9433849247
10667.57462	65262.44982	180	210.7424832	0.3309614832	1118.465572	3	1.044007051	38.59418484	36	2.096418765	74678.91614	39123.34133	0.9433483668
10686.21571	65261.40582	180	210.8024906	0.3310786192	1118.784047	3	1.0440589	39.63824374	37	2.154958344	74679.12078	39122.73547	0.9433117729
10704.86211	65260.36176	180	210.8625392	0.3311958441	1119.10274	3	1.044110804	40.68235454	38	2.213514591	74679.32691	39122.1297	0.9432751428
10723.51382	65259.31765	180	210.9226288	0.3313131579	1119.421652	3	1.044162762	41.7265173	39	2.272087519	74679.53453	39121.52402	0.9432384764
10742.17085	65258.27348	180	210.9827597	0.3314305608	1119.740782	3	1.044214776	42.77073208	40	2.330677138	74679.74365	39120.91844	0.9432017738
10760.8332	65257.22927	180	211.0429318	0.3315480529	1120.060131	3	1.044266844	43.81499892	41	2.38928346	74679.95427	39120.31295	0.9431650348
