Hp[ft]	ACMass[kg]	CAS[kt]	TAS[kt]	M[-]	ROCD[ft/min]	Grad[deg]	FuelFlow[kg/s]	Fuel[kg]	Time[s]	Distance[NM]	Thr[N]	D[N]	fM[-]
20000	65300	340	450.458	0.733266	-3056.12	3.8328	0.164759	3.23468	19.6327	2.45659	8212.71	62323.7	0.792848
19000	65296.8	340	443.963	0.71983	-3032.38	3.85858	0.168346	3.33097	19.7864	2.44012	8435.35	62555.7	0.79802
18000	65293.4	340	437.58	0.706692	-3008.01	3.88333	0.171933	3.42951	19.9467	2.42452	8658.77	62780	0.803101
17000	65290	340	431.306	0.693843	-2983.05	3.90705	0.175521	3.53035	20.1136	2.40976	8882.96	62996.7	0.80809
16000	65286.5	340	425.141	0.681279	-2957.53	3.92973	0.179108	3.63359	20.2872	2.39581	9107.94	63206.1	0.812985
15000	65282.8	340	419.084	0.668992	-2931.5	3.95137	0.182695	3.73927	20.4674	2.38265	9333.7	63408.4	0.817786
14000	65279.1	340	413.131	0.656977	-2904.98	3.97197	0.186282	3.8475	20.6542	2.37025	9560.24	63603.8	0.822492
13000	65275.3	340	407.283	0.645227	-2878.02	3.99155	0.189869	3.95832	20.8477	2.35859	9787.56	63792.4	0.827102
12000	65271.3	340	401.537	0.633736	-2850.64	4.0101	0.193456	4.07183	21.0479	2.34764	10015.7	63974.5	0.831615
11000	65267.2	340	395.892	0.622498	-2822.89	4.02763	0.197043	4.1881	21.2548	2.33739	10244.5	64150.3	0.836033
10000	65263	340	390.346	0.611508	-2794.81	4.04415	0.20063	4.3072	21.4684	2.32781	10474.2	64320	0.840355
9000	65258.7	340	384.898	0.60076	-2840.99	4.16874	0.204217	4.31294	21.1194	2.258	9254.81	64483.8	0.84458
8000	65254.4	340	379.546	0.590247	-2813.24	4.18617	0.207804	4.43198	21.3277	2.24857	9454.72	64641.9	0.848711
7000	65250	340	374.288	0.579965	-2785.22	4.20263	0.211391	4.55384	21.5423	2.23973	9655.3	64794.5	0.852746
6000	65245.4	340	369.124	0.569908	-2756.97	4.21815	0.214978	4.67857	21.763	2.23146	9856.55	64941.7	0.856686
5000	65240.8	340	364.051	0.56007	-2728.51	4.23274	0.218565	4.80624	21.99	2.22374	10058.5	65083.7	0.860533
4000	65235.9	340	359.067	0.550447	-2699.88	4.2464	0.222152	4.93693	22.2232	2.21656	10261.1	65220.7	0.864287
3000	65231	340	354.172	0.541034	-2671.1	4.25915	0.225739	5.0707	22.4627	2.2099	10464.4	65352.8	0.86795
2000	65225.9	340	349.363	0.531825	-2642.2	4.271	0.229326	5.20762	22.7084	2.20374	10668.3	65480.3	0.871521
